Question,Class
Course materials for developing a mathematical theory from  natural questions to ask ,maths
"Scepticism as the cornerstone for not making mistakes in arithmetic/algebra etc, especially for students who relentlessly make every possible error",maths
"In math exams, how rigorous should the questions be?",maths
Remote Teaching by Video Conferencing,maths
Explaining Sigma-Notation,maths
Is there a resource for learning to read mathematical notation/equations/formulae?,maths
"Antiderivative of 1/x1/x, with or without absolute value?",maths
Does there exist a  statistical  topology induced by students on the space of algebraic formulas?   ,maths
What can I do when advanced undergraduate and/or early graduate STEM students cannot perform correct math manipulations?,maths
Alternative to Quizlet live that supports latex formulas,maths
"How can one lone picture prove the Triangle Inequality, |x?y|?|x|+|y||x?y|?|x|+|y|, |x|?|y|?|x?y||x|?|y|?|x?y|, and the Reverse Triangle Inequality?",maths
What are some decent apps for Hasse diagrams?,maths
Educational resources commonly address slant asymptotes. Why not general polynomial asymptotes?,maths
Fixing wrong ideas about coefficients  e.g. subtract 3 from 3x to isolate x ,maths
Requesting a Polynomial System of Equations,maths
Any examples of calculus sequence that deemphasizes calculation tricks?,maths
Special topics for introductory probability,maths
Textbook For a Course on Classical Geometry,maths
Strategies for Fair Assessment in Mixed-Ability Undergraduate Math Classes,maths
What are common mistakes that students will make when solving  What s the original price  percentage problems?,maths
"Do you think with the advent of Desmos/GeoGebra, the Moore Method is more accessible to high school?",maths
Alternative approaches in basic mathematical operations,maths
Some whiteboard program specialized for  typing  with latex support,maths
1st time math teacher 1st test feedback appreciated,maths
Mnemonics for memorizing the difference between a closed interval and an open interval,maths
Flashcards and Study Methods for Undergraduate and Masters Degrees,maths
Motivating a definition of  gap  in a line just barely more advanced than the one used in the typical first-year calculus course,maths
Regarding finding eigenvalues and minimal polynomial of an operator with limited tools while following Sheldon Axler,maths
Resources for designing math degree programs,maths
Confusing variables with units in simple equations,maths
Looking for interesting tasks and activities for 6th grade students for a course on problem solving,maths
How would you prepare students for  Alice and Bob  Putnam problems?,maths
Why do some  pre-  calculus text allow r<0r<0 in polar coordinates?,maths
The value of homogeneous divisibility rules and of a numeration,maths
What are some simple problems that calculators get wrong?,maths
A visualization for the quotient rule,maths
What are your most recommended resources to teach fractions?,maths
What is a corequisite course?,maths
What Basic Math Skills Should Be Expected of Students in a University-Level Linear Algebra Course?,maths
How Can I Encourage Students to Use AI Like ChatGPT Across Math Courses?,maths
Math Progress for Year 2 Student?,maths
Resources to introduce Modular arithmetic,maths
The easy and the hard problems involving independent events,maths
"Logarithms properties, continuity and circular reasoning",maths
Preparing students to face challenges caused by artificial intelligence,maths
"Assigning a semi-independent project for current math I students to learn a topic in Math II overlap with math I, and teach a math II class, how to?",maths
Is teaching how to solve recurrence relations using generating functions too much for a first year discrete maths course?,maths
How can I distribute an exam to a large class without a lockdown broswer such as Respondus/Proctorio?,maths
Real-life problems involving solving triangles,maths
References on maxima and minima serving as a pedagogical context to explore and gain a deeper understanding of real functions,maths
Advice for assigning student projects in masters data science stats course,maths
How can middle school students intuit  if not  =  except if ?,maths
Emphasizing the decreasing condition in the Integral Test or in the AST  in Calculus II   is it worth the time?,maths
"How can I teach, how to replace  unless  with  if not ?",maths
Finding a Linear Algebra reading topic,maths
"*very* simple examples for definite integrals, for programming and business students",maths
Defining Properties of a Line,maths
Engaging students in the beauty of mathematics,maths
Balancing Rigour and Application When Teaching Generating Functions to Computer Science Students,maths
Foundations researching on activity-based projects in school level,maths
Is there an intuitive explanation for the properties of Pascal s triangle?,maths
Iconic and symbolic representations,maths
Ideas how to make slides easily,maths
Is using online interaction platforms like Wooclap effective in a university math classroom?,maths
Should more basic methods of proof be taught BEFORE induction?,maths
A single symbol or notation means many things - does this actually cause problems for learners?,maths
I want to teach someone number theory in details starting from the beginning. How shall I start?,maths
What s the value of teaching least squares in high school?,maths
Good ways to help students overcome the mistake that 2a?3b+7a+4b=?5a+7b,maths
How to teach high school students to analyze diagrams in a proof?,maths
How to catch students from different subjects  interest to math?,maths
Drumming up interest in journal-problem-solving and competition prep,maths
What is  subtract 4 from 3 times X  and why?,maths
How to teach a weak student?,maths
Can we explain to undergraduates how points make a line?,maths
Inability to work with an arbitrary mathematical object,maths
What to do if all students lack prerequisites?,maths
How to get past the  mystique  of Maths,maths
What books properly address the properties of abab?,maths
How to motivate students to do proofs?,maths
The trick didn t like me  teaching Fourier transform ,maths
How do I show students the Beauty of Mathematics?,maths
How should I convince a student who thinks they proved 1=?1,maths
Do you have an efficient way to view student responses to remote assignments allowing them to type math symbols and steps?  Middle + High school  pandemic,maths
Teaching aid for online mathematics course pandemic,maths
Create a mathematical problem with randomized parameters,maths
Resources for Unit Conversions,maths
Create a math quiz with LaTex by randomly choosing questions from a bank,maths
Creating an Engaging Class Atmosphere,maths
Making the leap from Pre-Calculus to Calculus,maths
Combative students in proofs classes,maths
Symmetry of mathematical expressions in problem solving,maths
Should/ how should I help students reframe their negative thoughts about their own mathematical abilities?,maths
A computer program for learning addition and multiplication table,maths
Students confusing  object types  in introductory proofs class,maths
What mathematical topics are important for succeeding in an undergrad PDE course?,maths
Students can t seem to grasp the intent of tangent lines and getting general trends of derivatives from graphs,maths
Intuition for order of operations in compound transformations,maths
Game project using linear algebra,maths
Engaging Mathematical Riddles for Classroom Enrichment  examples and impact studies references,maths
Bridging the gap between students  intuitive problem-solving abilities and expressing ideas through formal writing,maths
A good book about mathematical thinking,maths
Does some textbook on probability use a particular way  described here  of accomplishing the segue into continuous distributions?,maths
Advice and Remedial Algebra Resources for Students Committed to Calculus,maths
Engaging in a puzzle without a guidance of a leader while simultaneously being a component of that puzzle,maths
Examples of different languages with mathematically different names for concepts,maths
Tutoring a recalcitrant/awkward/exasperating student---special needs?,maths
