Question,Date,Answer,Student or Teacher or neither,Teachers subject knowledge,Differentiation,Lack of time,Approaches to teaching,Dry,Assessment,Lack of support,Students lack of understanding,Problem solving skills,Resilience,Not engaged,Ability in maths,Literacy skills,Not remembering,Not practising,Technical problems,Lack of resources,Finding resources,Curriculum,Fun,Terminology
Split in pedagogy of propositional logic,14/11/2022,0,n,,,,,,,,,,,,,,,,,,,,,1
"What is the text for ""the other second-term course in analysis at MIT?""",27/11/2022,0,n,,,,,,,,,,,,,,,,,,1,,,
Why do we use polysemy?,02/12/2022,1,n,,,,,,,,,,,,,,,,,,,,,1
What are some examples of mathematical errors in computer algebra systems (CAS)?,03/12/2022,3,n,,,,,,,,,,,,,,,,,,1,,,
When did math start to be a hated subject in schools and universities?,03/12/2022,9,n,,,,,,,,,,,,,,,,,,,,,
Pedagogical insights to be gleaned from AI attempts to ‘learn’ mathematics,11/12/2022,4,n,,,,,,,,,,,,,,,,,,,,,
"About instructor's manual in math textbooks: principles, design, uses and impact",21/12/2022,1,n,,,,,,,,,,,,,,,,,,,,,
Calculus problems arising from real research problems,25/12/2022,6,n,,,,,,,,,,,,,,,,,,1,,,
"Where can I find a summary of typical material (e.g., mathematics) taught in US elementaries and high schools?",27/12/2022,1,n,,,,,,,,,,,,,,,,,,1,,,
Introductory Books easier than Dover,28/12/2022,7,n,,,,,,,,,,,,,,,,,,1,,,
How does learning math differ from learning second foreign languages (L2)?,15/01/2023,1,n,,,,,,,,,,,,,,,,,,,,,
Is it meaningful to add a number to itself a fractional number of times?,19/01/2023,9,n,,,,,,,,,,,,,,,,,,,,,
Is there a canonical name for a polynomial-like expression allowing for negative powers?,03/02/2023,7,n,,,,,,,,,,,,,,,,,,,,,1
Why do we explicitly state the equality of two things when we know they're equal,06/02/2023,5,n,,,,,,,,,,,,,,,,,,,,,1
Do Greek students use Greek letters to denote angles?,07/02/2023,1,n,,,,,,,,,,,,,,,,,,,,,1
A few quick sentences to inspire an 8 year old in Maths,14/02/2023,2,n,,,,,,,,,,,1,,,,,,,,,,
Best demonstration of ππ ever; is this common?,23/02/2023,1,n,,,,,,,,,,,,,,,,,,,,,
Is it possible to learn some basic mathematics using an app?,05/03/2023,0,n,,,,,,,,,,,,,,,,,,1,,,
Student finding it difficult to recall theorem exactly,20/03/2023,1,n,,,,,,,,1,,,,,,,,,,,,,
Studies on the change in effectiveness of pedagogical practices over time,04/04/2023,0,n,,,,,,,,,,,,,,,,,,,,,
What is a theoretical contribution in mathematics-education research?,17/04/2023,2,n,,,,,,,,,,,,,,,,,,,,,
Why are there two inverses to exponentiation?,23/05/2023,5,n,,,,,,,,,,,,,,,,,,,,,1
Can this be a better way of defining subsets?,30/05/2023,6,n,,,,,,,,,,,,,,,,,,,,,1
Teachers passionate in mathematics,30/05/2023,1,n,,,,,,,,,,,,,,,,,,,,,
Calculus at competitive level or Olympiad level,22/06/2023,1,n,,,,,,,,,,,,,,,,,,,,,
Theory-practice order vs practice-theory,06/07/2023,1,n,,,,,,,,,,,,,,,,,,,,,
Books with Glossaries,08/07/2023,0,n,,,,,,,,,,,,,,,,,,1,,,
What would constitute as a good justification of why a divergent limit is divergence for highschool teaching?,17/07/2023,1,n,,,,1,,,,,,,,,,,,,,,,,
references and examples of questions that shows what mathematics is not,03/09/2023,1,n,,,,,,,,,,,,,,,,,,,,,
Is there any university or college in any country where failure and dropout rates in Calculus are not so high?,12/09/2023,1,n,,,,,,,,,,,,,,,,,,,,,
Seeking References on Deterministic and Stochastic Phenomena Suitable for High School Students,14/09/2023,1,n,,,,,,,,,,,,,,,,,,1,,,
Is there a particular reason why segment addition postulate and partition postulate are two different things?,03/10/2023,2,n,,,,,,,,,,,,,,,,,,,,,1
Role of history of mathematics in contextual teaching and learning,09/10/2023,4,n,,,,,,,,,,,,,,,,,,,,,
Why not think of derivatives as fractions?,11/10/2023,7,n,,,,,,,,,,,,,,,,,,,,,1
Do undergraduates struggle with δ-ε definitions because they lack a habit of careful use of their native language?,14/10/2023,5,n,,,,,,,,,,,,,,,,,,,,,1
Feedback from AI based learning to human based learning in math?,26/10/2023,1,n,,,,,,,,,,,,,,,,,,,,,
Role of human math teachers in the century of AI learning tools,26/10/2023,5,n,,,,,,,,,,,,,,,,,,,,,
Chinese and Japanese most important high school textbooks,29/10/2023,1,n,,,,,,,,,,,,,,,,,,1,,,
Order of operations pemdas,11/11/2023,2,n,,,,,,,,,,,,,,,,,,,,,
Speed math appropriate for middle-school students,13/11/2023,1,n,,,,,,,,,,,,,,,,,,,,,
What age group is this puzzle appropriate for?,25/11/2023,1,n,,,,,,,,,,,,,,,,,,,,,
Which Books Comprised The Houghton Mifflin Modern Mathematics Series,28/11/2023,1,n,,,,,,,,,,,,,,,,,,1,,,
Learn ring theory more fun,17/12/2023,0,n,,,,,,,,,,,,,,,,,,1,,,
are there Evidence-Based Justifications for Mandatory Mathematics Education in School Curricula?,02/01/2024,1,n,,,,,,,,,,,,,,,,,,,,,
"How did Grigori Perelman , got all the necessary theory and materials to prove the Poincaré conjecture?",06/01/2024,1,n,,,,,,,,,,,,,,,,,,,,,
Looking for resources about visualizing in mathematics,07/01/2024,0,n,,,,,,,,,,,,,,,,,,1,,,
Are some natural languages better for expressing mathematical concepts than others?,09/01/2024,4,n,,,,,,,,,,,,,,,,,,,,,
"International mathematical olympiad-type competitions at lower levels, and if they exist, their educational usefulness?",15/01/2024,2,n,,,,,,,,,,,,,,,,,,,,1,
Staircase method of small integer addition,20/01/2024,2,n,,,,1,,,,,,,,,,,,,,,,,
Please identify this American elementary textbook series from the 1950s,20/01/2024,1,n,,,,,,,,,,,,,,,,,,1,,,
Should I choose Cox-based Jaynes' approach or Kolmogorov approach to base myself on to teach probabilities to high-school students?,21/01/2024,7,n,,,,,,,,,,,,,,,,,,1,1,,
Is integrated math class the same as mathematics class?,27/01/2024,1,n,,,,,,,,,,,,,,,,,,,,,
What books does a Chinese institution use in the undergraduate maths courses?,31/01/2024,0,n,,,,,,,,,,,,,,,,,,1,,,
"When Interpreting ""If A, then B"" as ""A coupled with B"" is rational?",10/02/2024,0,n,,,,,,,,,,,,,,,,,,,,,1
"Why use the vague notion of ""vector"" when you have R2,R3,R4,…R2,R3,R4,…?",19/02/2024,4,n,,,,,,,,,,,,,,,,,,,,,1
Recreational mathematics to create sense of mathematics,27/02/2024,1,n,,,,,,,,,,,,,,,,,,1,,,
When can students understand the intersection of two circles?,27/02/2024,0,n,,,,,,,,,,,,,,,,,,,,,
Is there national grade distribution data for introductory service courses?,04/03/2024,0,n,,,,,,,,,,,,,,,,,,1,,,
International Baccalaureate - where to find the detail of the math programs?,08/03/2024,1,n,,,,,,,,,,,,,,,,,,,1,,
why or when do we use the general form of conic sections?,12/03/2024,6,n,,,,,,,,,,,,,,,,,,,,,1
Trade-off between writing neatly vs scribbling (scribbling aims to maximise working memory),17/03/2024,5,n,,,,,,,,,,,,,,,,,,,,,
What are the differences between the nn permutations of the Edwards & Penney Differential Equations books?,27/03/2024,0,n,,,,,,,,,,,,,,,,,,1,,,
Why is it written tan−1tan−1?,08/04/2024,3,n,,,,,,,,,,,,,,,,,,,,,1
"""Pure Imaginary"" or ""Purely Imaginary""?",11/04/2024,8,n,,,,,,,,,,,,,,,,,,,,,1
"Book or curriculum for teaching base-16 numeral system to elementary, middle, or high school children?",16/04/2024,0,n,,,,,,,,,,,,,,,,,,1,,,
How to round numbers?,24/04/2024,4,n,,,,,,,,,,,,,,,,,,,,,1
Usage of cubic equation Vieta's formula,24/04/2024,1,n,,,,,,,,,,,,,,,,,,,,,
What are the essential topics in undergraduate financial mathematics?,01/05/2024,3,n,,,,,,,,,,,,,,,,,,,1,,
What is this symbol called?,06/05/2024,3,n,,,,,,,,,,,,,,,,,,,,,1
Truth tables. What does a truth valuation of a formula even mean?,25/05/2024,5,n,,,,,,,,,,,,,,,,,,,,,1
Recommended math site or app for 7th/8th grade,04/06/2024,2,n,,,,,,,,,,,,,,,,,,1,,,
Seeking journal for theoretical papers publishing,05/06/2024,1,n,,,,,,,,,,,,,,,,,,,,,
How can a church or other non-academic institution find and hire math teachers?,25/06/2024,1,n,,,,,,,,,,,,,,,,,,,,,
Literature on mathematical intutiion,26/06/2024,1,n,,,,,,,,,,,,,,,,,,1,,,
"Reading popular books in undergraduate math classes: Techniques, assignments, methods?",27/06/2024,2,n,,,,,,,,,,,,,,,,,,1,,,
"Questions about writing a Linear Algebra textbook, with Earth Science applications",10/07/2024,4,n,,,,,,,,,,,,,,,,,,,1,,
When Did They Start Using Ohm's Triangle for Arithmetic Topics?,12/07/2024,0,n,,,,,,,,,,,,,,,,,,,,,1
Should I apply for teaching assistance given my situation?,21/08/2024,0,n,,,,,,,,,,,,,,,,,,,,,
How do I explain that (−1)2=1(−1)2=1 to a child?,29/08/2024,4,n,,,,,,,,,,,,,,,,,,,,,
Best way to explain the thinking steps from x² = 9 to x=±3,01/09/2024,11,n,,,,,,,,,,,,,,,,,,,,,
solutions to Hung-Hsi Wu's Teaching School Mathematics: Prealgebra/Algebra textbooks?,04/09/2024,0,n,,,,,,,,,,,,,,,,,,1,,,
How to picture xn−yn≡(x−y)(xn−1+xn−2y+⋯+xyn−2+yn−1)∀n≥4 ?,04/09/2024,4,n,,,,1,,,,,,,,,,,,,,,,,
"Is it feasible to create an online platform to effectively teach college-level math (abstract algebra, real analysis, etc.)?",11/09/2024,4,n,,,,,,,,,,,,,,,,,,,,,
Throwing Expressions: The Under-Taught Art of Algebraic Sculpting,18/09/2024,1,n,,,,,,,,,,,,,,,,,,1,,,
"Are there any current scholars defending the ""new"" mathematics movement in the US or elsewhere?",19/09/2024,0,n,,,,,,,,,,,,,,,,,,,1,,
"How is the ""simplest form"" defined in the case of complex trig expressions?",13/10/2024,3,n,,,,,,,,,,,,,,,,,,,,,1
Literature on implementing pedagogy in teaching,23/10/2024,0,n,,,,,,,,,,,,,,,,,,,,,
Book on Mathematical Problem-Solving Techniques,30/10/2024,2,n,,,,,,,,,,,,,,,,,,1,,,
Contextual effects on children's literacy versus numeracy skills,26/11/2024,0,n,,,,,,,,,,,,,,,,,,,,,
Why not BIDMSA rather than BIDMAS?,15/12/2024,1,n,,,,,,,,,,,,,,,,,,,,,1
examples of technological milestones that have impacted mathematics education,17/12/2024,2,n,,,,,,,,,,,,,,,,,,,,,
How should I deal well-known versus the obvious rubric?,02/01/2017,1,s,,,,,,,,,,,,,,,,,,,,,
Transitioning from 'Read textbook to learn' to 'Read original paper/Read paragraphs of textbooks',05/01/2017,2,s,,,,,,,,,,,,,,,,,,,,,
How to invite humanities students to study mathematics?,20/01/2017,3,s,,,,,,,,,,,,,,,,,,,,,
How does a student learn to 'dig behind the scenes' or 'feel' math like a Fields Medallist?,27/01/2017,5,s,,,,,,,,,,,,,,,,,,,,,
Differential equations - definitions,28/01/2017,5,s,,,,,,,,,,,,,,,,,,,,,1
Requirements to learn calculus,31/01/2017,10,s,,,,,,,,,,,,,,,,,,1,,,
Is it too late for me to start learning mathematics?,02/02/2017,9,s,,,,,,,,,,,,,,,,,,,,,
I'm worried that my struggles with calc 2 mean I won't be able to become a professor later,24/02/2017,3,s,,,,,,,,1,,,,,,,,,,,,,
What specifically should I include to my self study notes?,11/03/2017,1,s,,,,,,,,,,,,,,,,,,,,,
What should I learn after calculus?,22/04/2017,8,s,,,,,,,,,,,,,,,,,,,1,,
Question about the process of creation of problems and exercises in Mathematics,06/05/2017,1,s,,,,,,,,,,,,,,,,,,,,,
Is it better to study in groups or by yourself?,12/05/2017,4,s,,,,,,,,,,,,,,,,,,,,,
How to retain the key points of an exercise?,20/05/2017,2,s,,,,,,,,,,,,,,,,,,,,,
How can I improve my problem solving/critical thinking skills and learn higher math?,08/06/2017,2,s,,,,,,,,,1,,,,,,,,,,,,
Online course for Algebra II,17/06/2017,3,s,,,,,,,,,,,,,,,,,,1,,,
Are there any tips for studying an MSc Pure Mathematics online?,14/07/2017,1,s,,,,,,,,,,,,,,,,,,,,,
Are there advantages to make students handwrite (instead of LaTeX typing) what they say in an oral exam?,19/07/2017,2,s,,,,,,1,,,,,,,,,,,,,,,
Studies into the effects of having fewer classes per term,26/07/2017,0,s,,,,,,,,,,,,,,,,,,,,,
A4 paper of notes in an exam,10/08/2017,3,s,,,,,,1,,,,,,,,,,,,,,,
Math Education Research Areas,23/08/2017,1,s,,,,,,,,,,,,,,,,,,,,,
Learning Math like Euclid,30/08/2017,2,s,,,,,,,,,,,,,,,,,,1,,,
Is it possible for me to learn math if I cannot process information in an abstract way?,03/09/2017,1,s,,1,,,,,,,,,,,,,,,,,,,
Extension activities in Algebra II,14/10/2017,4,s,,,,,,,,,,,,,,,,,,1,,,
"Without a constraint of time, is self-study with math textbooks better than college courses?",17/10/2017,3,s,,,,,,,,,,,,,,,,,,1,,,
"Is it possible to have taken intro to proofs, calculus 3 and differential equations and still lack the ability to do proofs?",28/10/2017,2,s,,,,,,,,,,,,,,,,,,,,,
Why are hand waving arguments made in textbooks of undergraduate analysis and how should readers deal with them?,29/10/2017,2,s,,,,,,,,,,,,,,,,,,,,,
Strategies for learning proofs,03/12/2017,0,s,,,,,,,,,,,,,,,,,,,,,
Online Accredited Mathematics Course,19/12/2017,3,s,,,,,,,,,,,,,,,,,,1,,,
How do I work in creating education standards?,01/01/2018,1,s,,,,,,,,,,,,,,,,,,,,,
Learning High School Geometry in Ten Days,01/01/2018,1,s,,,,,,,,,,,,,,,,,,,,,
"Is ""hat notation"" for unit vectors commonly used in mathematics?",05/01/2018,2,s,,,,,,,,,,,,,,,,,,,,,1
How can I (failing Cambridge's BA Math) improve my grade to a 1st from a 3rd-class honours?,09/01/2018,3,s,,,,,,,,,,,,,,,,,,,,,
Could you recommend a book for studying calculus 1?,17/01/2018,3,s,,,,,,,,,,,,,,,,,,1,,,
Good Combination for Self Study for a Mathematical Novice,07/02/2018,1,s,,,,,,,,,,,,,,,,,,1,,,
Mathematics exam -- How to keep brain functioning through a four-hour exam?,15/02/2018,5,s,,,,,,1,,,,,,,,,,,,,,,
"Is the annual system still in vogue anywhere in Europe, North America, Australia, or East Asia? And what about the 2-year B.A. / B.Sc. degree?",19/02/2018,0,s,,,,,,,,,,,,,,,,,,,1,,
Does education research support the idea that answer keys are bad?,07/03/2018,3,s,,,,,,1,,,,,,,,,,,,,,,
Why aren't Bayesian Networks and Variable Elimination introduced earlier?,15/04/2018,1,s,,,,,,,,,,,,,,,,,,,1,,
How can I introduce a speech about the Fibonacci sequence creativiely?,12/05/2018,1,s,,,,,,,,,,,,,,,,,,,,,
Source material to study number theory?,18/05/2018,1,s,,,,,,,,,,,,,,,,,,1,,,
"Can I succeed in university math, if I loathe physics?",07/06/2018,5,s,,,,,,,,,,,,,,,,,,,,,
Limit of questions that a student should ask in class without upsetting professor?,13/06/2018,3,s,,,,,,,,,,,,,,,,,,,,,
Why are proofs written in flowery language incomprehensible?,28/07/2018,2,s,,,,,,,,,,,,,,,,,,,,,1
Curriculum for self taught Maths degree,04/08/2018,1,s,,,,,,,,,,,,,,,,,,1,,,
Is AP Calculus AB really necessary?,14/08/2018,2,s,,,,,,,,,,,,,,,,,,,1,,
"If I want to pursue theoretical mathematics, especially Category theory, do I ever need programming skill?",25/08/2018,3,s,,,,,,,,,,,,,,,,,,,1,,
Is Calculus AB/BC a 'bad course?',29/08/2018,2,s,,,,,,,,,,,,,,,,,,,1,,
Is This Trick Helpful?,08/09/2018,4,s,,,,,,,,,,,,,,,,,,,,,
"How is it correct for a lecturer to prove and ""explain"" a proof while explicitly knowing students are not familiar with logic itself?",12/09/2018,2,s,,,,,,,,,,,,,,,,,,,1,,
Can we solve math just by speaking and not using any other extra devices?,14/09/2018,1,s,,,,,,,,,1,,,,,,,,,,,,
"Is it feasible to expose undergraduates to a ""map""-centric point of view early on?",23/09/2018,1,s,,,,,,,,,,,,,,,,,,,1,,
List of realistic extremum problems,26/10/2018,8,s,,,,,,,,,,,,,,,,,,1,,,
"Math Anxiety get in the way of my Graduate School, I want to continue PhD",30/10/2018,3,s,,,,,,,,,,,,,,,,,,,,,
I want to learn how things function and continue my life work of learning,01/11/2018,2,s,,,,,,,,,,,,,,,,,,,,,
At what point in the curriculum should the tensor product be introduced?,19/12/2018,2,s,,,,,,,,,,,,,,,,,,,1,,
"When self teaching, should I learn set theory before continuing ap calculus?",20/12/2018,1,s,,,,,,,,,,,,,,,,,,,1,,
Is 180∘=π180∘=π?,28/12/2018,4,s,,,,,,,,,,,,,,,,,,,,,1
Mathematics Research at Secondary Level (High school Level),07/01/2019,2,s,,,,,,,,,,,,,,,,,,,,,
Is there any alignment on what a maths grad should know?,23/01/2019,2,s,,,,,,,,,,,,,,,,,,,1,,
Is Linear Algebra Done Right too much for a beginner?,28/01/2019,5,s,,,,,,,,,,,,,,,,,,1,,,
A question from a young student to mathematicians,12/02/2019,2,s,,,,,,,,,,,,,,,,,,,,,
Collaborative note taking,27/03/2019,2,s,,,,,,,,,,,,,,,,,,,,,
Roadmap to studying PDEs for analyzing Quantum Physics better,11/04/2019,1,s,,,,,,,,,,,,,,,,,,1,,,
why don't we do labs in/for math?,24/04/2019,0,s,,,,,,,,,,,,,,,,,,,,,
"Online open-course-ware that uses Maclane's book ""Algebra""",04/06/2019,0,s,,,,,,,,,,,,,,,,,,1,,,
How important is making definitions plausible?,13/06/2019,3,s,,,,,,,,,,,,,,,,,,,,,1
How to study for university level math olympiads and competitions?,11/07/2019,1,s,,,,,,,,,,,,,,,,,,1,,,
How to stay interested in less-tangible math,15/07/2019,4,s,,,,,,,,,,,,,,,,,,,,,
Best Way to Learn Trigonometry,03/08/2019,4,s,,,,,,,,,,,,,,,,,,1,,,
Introductory real analysis before or after introductory abstract algebra?,03/08/2019,2,s,,,,,,,,,,,,,,,,,,,1,,
Forming a Study Model for a Self-Study Beginner,07/08/2019,3,s,,,,,,,,,,,,,,,,,,,,,
"Is ""The Petersen Graph"" by Holton and Sheehan a good text for graph-theory students? Any requisite knowledge for mastering the text?",13/09/2019,1,s,,,,,,,,,,,,,,,,,,1,,,
Are there any math journals or magazines with math problems for middle school or university?,15/09/2019,1,s,,,,,,,,,,,,,,,,,,1,,,
High school maths textbook for talented students,16/09/2019,2,s,,,,,,,,,,,,,,,,,,1,,,
How to improve mathematical skills(University level)?,20/09/2019,1,s,,,,,,,,,,,,,,,,,,,,,
Is there a rigrous and relatively complete book/lecture notes for selfstudying several variable calculus?,25/09/2019,2,s,,,,,,,,,,,,,,,,,,1,,,
How helpful are university subject rankings when choosing a place to study math?,02/10/2019,1,s,,,,,,,,,,,,,,,,,,,,,
Why is there an emphasis on analysis courses in undergrad progams?,04/10/2019,2,s,,,,,,,,,,,,,,,,,,,1,,
"Is ""Volume of Solids of Revolution"" a part of Cal I or Cac II",06/10/2019,4,s,,,,,,,,,,,,,,,,,,,1,,
Where can I find the partial order relation of prerequisites of undergraduate courses in the United States?,30/10/2019,1,s,,,,,,,,,,,,,,,,,,1,,,
What kind of problem do you learn most from (hard problems or easy problems)?,31/10/2019,3,s,,,,,,,,,,,,,,,,,,,,,
What do I study in calculus beyond the minimum required for undergraduate engineering?,25/11/2019,6,s,,,,,,,,,,,,,,,,,,,1,,
Redesigning college math courses and curriculum to be self-paced,18/12/2019,2,s,,,,,,,,,,,,,,,,,,1,,,
Doing research projects when one's knowledge is limited: is it preferable?,03/01/2020,3,s,,,,,,,,,,,,,,,,,,,,,
"Lack of intuition, retention while self studying",07/01/2020,7,s,,,,,,,,1,,,,,,1,,,,,,,
EdX Courses for Self-Study,18/01/2020,1,s,,,,,,,,,,,,,,,,,,1,,,
How do I assimilate mathematical concept?,27/01/2020,2,s,,,,,,,,,,,,,,,,,,1,,,
Measuring ones mathematics ability regularly - how to avoid getting better at the tests,29/01/2020,1,s,,,,1,,1,,,,,,,,,,,,,,,
What does one full year of calculus mean?,06/02/2020,2,s,,,,,,,,,,,,,,,,,,,1,,
About the effectiveness of self-studying maths (compared with other subjects),29/02/2020,5,s,,,,,,,,,,,,,,,,,,,,,
How does a teacher come up with plausible wrong answers for multiple choice tests?,14/03/2020,5,s,,,,,,,,1,,,,,,,,,,,,,
Textbooks for an independent study in point-set topology,18/04/2020,2,s,,,,,,,,,,,,,,,,,,1,,,
Are these assumptions in statistics correct or beneficial?,24/04/2020,8,s,,,,,,,,,,,,,,,,,,,,,1
What will my academic path look like after testing out of high school math classes?,30/04/2020,4,s,,,,,,,,,,,,,,,,,,1,,,
